Facility ID,Facility Name,Address,City,State,ZIP Code,County Name,MSPB-1 Achievement Threshold,MSPB-1 Benchmark,MSPB-1 Baseline Rate,MSPB-1 Performance Rate,MSPB-1 Achievement Points,MSPB-1 Improvement Points,MSPB-1 Measure Score,Location
520207,AURORA MEDICAL CENTER,975 PORT WASHINGTON ROAD,GRAFTON,WI,53024,Ozaukee,0.986935,0.839602,0.948294,0.950924,3 out of 10,0 out of 9,3 out of 10,"975 PORT WASHINGTON ROAD GRAFTON, WI 53024"
140015,BLESSING HOSPITAL,BROADWAY ST & N 11TH ST,QUINCY,IL,62305,Adams,0.986935,0.839602,0.967933,0.954607,2 out of 10,1 out of 9,2 out of 10,"BROADWAY ST & N 11TH ST QUINCY, IL 62305"
360098,LAKE HEALTH,7590 AUBURN ROAD,CONCORD,OH,44077,Lake,0.986935,0.839602,1.023308,1.030991,0 out of 10,0 out of 9,0 out of 10,"7590 AUBURN ROAD CONCORD, OH 44077 (41.664251, -81.24466)"
150046,TERRE HAUTE REGIONAL HOSPITAL,3901 S SEVENTH ST,TERRE HAUTE,IN,47802,Vigo,0.986935,0.839602,1.042054,1.047110,0 out of 10,0 out of 9,0 out of 10,"3901 S SEVENTH ST TERRE HAUTE, IN 47802 (39.419624, -87.406837)"
370149,SSM HEALTH ST ANTHONY HOSPITAL - SHAWNEE,1102 W MACARTHUR,SHAWNEE,OK,74804,Pottawatomie,0.986935,0.839602,0.959750,0.921950,4 out of 10,3 out of 9,4 out of 10,"1102 W MACARTHUR SHAWNEE, OK 74804 (35.361768, -96.937587)"
360078,UNIVERSITY HOSPITALS PORTAGE MEDICAL CENTER,6847 N CHESTNUT,RAVENNA,OH,44266,Portage,0.986935,0.839602,0.961044,0.980075,1 out of 10,0 out of 9,1 out of 10,"6847 N CHESTNUT RAVENNA, OH 44266 (41.176723, -81.245887)"
420053,NEWBERRY COUNTY MEMORIAL HOSPITAL,2669 KINARD ST PO BOX 497,NEWBERRY,SC,29108,Newberry,0.986935,0.839602,0.995845,0.992183,0 out of 10,0 out of 9,0 out of 10,"2669 KINARD ST PO BOX 497 NEWBERRY, SC 29108 (34.289433, -81.604915)"
460003,SALT LAKE REGIONAL MEDICAL CENTER,1050 EAST SOUTH TEMPLE,SALT LAKE CITY,UT,84102,Salt Lake,0.986935,0.839602,1.033983,1.019346,0 out of 10,0 out of 9,0 out of 10,"1050 EAST SOUTH TEMPLE SALT LAKE CITY, UT 84102 (40.769348, -111.861175)"
150166,PINNACLE HOSPITAL,9301 CONNECTICUT DR,CROWN POINT,IN,46307,Lake,0.986935,0.839602,1.099181,1.226225,0 out of 10,0 out of 9,0 out of 10,"9301 CONNECTICUT DR CROWN POINT, IN 46307 (41.449118, -87.330069)"
390039,SOMERSET HOSPITAL,225 SOUTH CENTER AVENUE,SOMERSET,PA,15501,Somerset,0.986935,0.839602,0.992767,0.908104,5 out of 10,5 out of 9,5 out of 10,"225 SOUTH CENTER AVENUE SOMERSET, PA 15501 (40.007081, -79.078598)"
110161,NORTHSIDE HOSPITAL,"1000 JOHNSON FERRY ROAD, NE",ATLANTA,GA,30342,Fulton,0.986935,0.839602,0.969140,0.955677,2 out of 10,1 out of 9,2 out of 10,"1000 JOHNSON FERRY ROAD, NE ATLANTA, GA 30342 (33.907895, -84.354754)"
050301,ADVENTIST HEALTH UKIAH VALLEY,275 HOSPITAL DRIVE,UKIAH,CA,95482,Mendocino,0.986935,0.839602,0.888655,0.866363,8 out of 10,4 out of 9,8 out of 10,"275 HOSPITAL DRIVE UKIAH, CA 95482 (39.153019, -123.2038)"
170105,MCPHERSON HOSPITAL INC,1000 HOSPITAL DRIVE,MCPHERSON,KS,67460,McPherson,0.986935,0.839602,0.861377,0.885088,7 out of 10,0 out of 9,7 out of 10,"1000 HOSPITAL DRIVE MCPHERSON, KS 67460 (38.379006, -97.672485)"
230130,"BEAUMONT HOSPITAL, ROYAL OAK",3601 W THIRTEEN MILE RD,ROYAL OAK,MI,48073,Oakland,0.986935,0.839602,0.992835,0.990494,0 out of 10,0 out of 9,0 out of 10,"3601 W THIRTEEN MILE RD ROYAL OAK, MI 48073 (42.517687, -83.192142)"
380082,PROVIDENCE MILWAUKIE HOSPITAL,10150 SE 32ND AVENUE,MILWAUKIE,OR,97222,Clackamas,0.986935,0.839602,0.886610,0.879820,7 out of 10,1 out of 9,7 out of 10,"10150 SE 32ND AVENUE MILWAUKIE, OR 97222 (45.449714, -122.629791)"
510082,SUMMERSVILLE REGIONAL MEDICAL CENTER,400 FAIRVIEW HEIGHTS ROAD,SUMMERSVILLE,WV,26651,Nicholas,0.986935,0.839602,0.880021,0.936335,4 out of 10,0 out of 9,4 out of 10,"400 FAIRVIEW HEIGHTS ROAD SUMMERSVILLE, WV 26651 (38.291903, -80.831136)"
030071,FORT DEFIANCE INDIAN HOSPITAL,PO BOX 649,FORT DEFIANCE,AZ,86504,Apache,0.986935,0.839602,0.799131,0.700736,10 out of 10,9 out of 9,10 out of 10,"PO BOX 649 FORT DEFIANCE, AZ 86504"
180070,TWIN LAKES REGIONAL MEDICAL CENTER,910 WALLACE AVENUE,LEITCHFIELD,KY,42754,Grayson,0.986935,0.839602,0.900727,0.952884,3 out of 10,0 out of 9,3 out of 10,"910 WALLACE AVENUE LEITCHFIELD, KY 42754 (37.471947, -86.287038)"
510029,THOMAS MEMORIAL HOSPITAL,4605 MACCORKLE AVENUE SW,SOUTH CHARLESTON,WV,25309,Kanawha,0.986935,0.839602,0.926754,0.975983,1 out of 10,0 out of 9,1 out of 10,"4605 MACCORKLE AVENUE SW SOUTH CHARLESTON, WV 25309 (38.355643, -81.726502)"
140206,NORWEGIAN-AMERICAN HOSPITAL,1044 N FRANCISCO AVE,CHICAGO,IL,60622,Cook,0.986935,0.839602,1.033927,1.076397,0 out of 10,0 out of 9,0 out of 10,"1044 N FRANCISCO AVE CHICAGO, IL 60622 (41.900481, -87.699288)"
060006,MONTROSE MEMORIAL HOSPITAL,800 SOUTH 3RD STREET,MONTROSE,CO,81401,Montrose,0.986935,0.839602,0.992959,0.971398,1 out of 10,1 out of 9,1 out of 10,"800 SOUTH 3RD STREET MONTROSE, CO 81401 (38.480881, -107.868769)"
260219,PROGRESS WEST HOSPITAL,2 PROGRESS POINT PKWY,O FALLON,MO,63368,Saint Charles,0.986935,0.839602,0.941338,0.955460,2 out of 10,0 out of 9,2 out of 10,"2 PROGRESS POINT PKWY O FALLON, MO 63368 (38.715097, -90.696597)"
050417,SUTTER COAST HOSPITAL,800 E WASHINGTON BLVD,CRESCENT CITY,CA,95531,Del Norte,0.986935,0.839602,0.837334,0.890185,6 out of 10,0 out of 9,6 out of 10,"800 E WASHINGTON BLVD CRESCENT CITY, CA 95531 (41.772698, -124.194144)"
100236,FAWCETT MEMORIAL HOSPITAL,21298 OLEAN BLVD,PORT CHARLOTTE,FL,33952,Charlotte,0.986935,0.839602,1.049993,1.043410,0 out of 10,0 out of 9,0 out of 10,"21298 OLEAN BLVD PORT CHARLOTTE, FL 33952 (26.987872, -82.097729)"
490048,LEWISGALE MEDICAL CENTER,1900 ELECTRIC ROAD,SALEM,VA,24153,Salem,0.986935,0.839602,1.006626,1.043833,0 out of 10,0 out of 9,0 out of 10,"1900 ELECTRIC ROAD SALEM, VA 24153 (37.2651, -80.033158)"
040072,BAPTIST HEALTH MEDICAL CENTER-STUTTGART,1703 NORTH BUERKLE ST,STUTTGART,AR,72160,Arkansas,0.986935,0.839602,0.946940,0.914260,5 out of 10,3 out of 9,5 out of 10,"1703 NORTH BUERKLE ST STUTTGART, AR 72160 (34.517773, -91.557572)"
340090,JOHNSTON HEALTH,509 BRIGHT LEAF BLVD,SMITHFIELD,NC,27577,Johnston,0.986935,0.839602,0.954882,0.950990,3 out of 10,0 out of 9,3 out of 10,"509 BRIGHT LEAF BLVD SMITHFIELD, NC 27577 (35.513161, -78.333659)"
450661,ODESSA REGIONAL MEDICAL CENTER,520 E 6TH STREET,ODESSA,TX,79761,Ector,0.986935,0.839602,1.069628,1.002432,0 out of 10,2 out of 9,2 out of 10,"520 E 6TH STREET ODESSA, TX 79761 (31.851458, -102.366027)"
170104,SHAWNEE MISSION MEDICAL CENTER,9100 W 74TH STREET,SHAWNEE MISSION,KS,66204,Johnson,0.986935,0.839602,0.995098,0.991140,0 out of 10,0 out of 9,0 out of 10,"9100 W 74TH STREET SHAWNEE MISSION, KS 66204 (38.995137, -94.69204)"
330127,JACOBI MEDICAL CENTER,1400 PELHAM PARKWAY SOUTH,BRONX,NY,10461,Bronx,0.986935,0.839602,0.995395,1.004303,0 out of 10,0 out of 9,0 out of 10,"1400 PELHAM PARKWAY SOUTH BRONX, NY 10461 (40.857455, -73.84721)"
230141,MCLAREN FLINT,401 S BALLENGER HIGHWAY,FLINT,MI,48532,Genesee,0.986935,0.839602,0.984828,0.974482,1 out of 10,0 out of 9,1 out of 10,"401 S BALLENGER HIGHWAY FLINT, MI 48532 (43.014187, -83.733578)"
360359,UNIVERSITY HOSPITALS AHUJA MEDICAL CENTER,3999 RICHMOND ROAD,BEACHWOOD,OH,44122,Cuyahoga,0.986935,0.839602,1.013213,0.982894,1 out of 10,1 out of 9,1 out of 10,"3999 RICHMOND ROAD BEACHWOOD, OH 44122 (41.453271, -81.497708)"
410008,SOUTH COUNTY HOSPITAL INC,100 KENYON AVE,WAKEFIELD,RI,02879,Washington,0.986935,0.839602,0.959700,0.949659,3 out of 10,0 out of 9,3 out of 10,"100 KENYON AVE WAKEFIELD, RI 02879 (41.431883, -71.495882)"
050350,BEVERLY HOSPITAL,309 W BEVERLY BLVD,MONTEBELLO,CA,90640,Los Angeles,0.986935,0.839602,1.069306,1.102714,0 out of 10,0 out of 9,0 out of 10,"309 W BEVERLY BLVD MONTEBELLO, CA 90640 (34.016032, -118.100526)"
060030,MCKEE MEDICAL CENTER,2000 BOISE AVE,LOVELAND,CO,80538,Larimer,0.986935,0.839602,0.975157,0.998334,0 out of 10,0 out of 9,0 out of 10,"2000 BOISE AVE LOVELAND, CO 80538 (40.413679, -105.053599)"
360150,SUMMA WESTERN RESERVE HOSPITAL,1900 23RD STREET,CUYAHOGA FALLS,OH,44223,Summit,0.986935,0.839602,1.026011,1.046223,0 out of 10,0 out of 9,0 out of 10,"1900 23RD STREET CUYAHOGA FALLS, OH 44223 (41.132948, -81.509907)"
100242,GULF COAST REGIONAL MEDICAL CENTER,449 W 23RD ST,PANAMA CITY,FL,32405,Bay,0.986935,0.839602,1.066282,1.079490,0 out of 10,0 out of 9,0 out of 10,"449 W 23RD ST PANAMA CITY, FL 32405 (30.189682, -85.666124)"
260096,NORTH KANSAS CITY HOSPITAL,2800 CLAY EDWARDS DRIVE,NORTH KANSAS CITY,MO,64116,Clay,0.986935,0.839602,0.982582,1.007411,0 out of 10,0 out of 9,0 out of 10,"2800 CLAY EDWARDS DRIVE NORTH KANSAS CITY, MO 64116 (39.15081, -94.551852)"
450011,ST JOSEPH REGIONAL HEALTH CENTER,2801 FRANCISCAN DR,BRYAN,TX,77802,Brazos,0.986935,0.839602,0.998598,1.052392,0 out of 10,0 out of 9,0 out of 10,"2801 FRANCISCAN DR BRYAN, TX 77802 (30.655526, -96.347638)"
340155,DUKE REGIONAL HOSPITAL,3643 N ROXBORO ROAD,DURHAM,NC,27704,Durham,0.986935,0.839602,0.952626,0.947269,3 out of 10,0 out of 9,3 out of 10,"3643 N ROXBORO ROAD DURHAM, NC 27704 (36.037439, -78.897037)"
490001,NORTON COMMUNITY HOSPITAL,100  15TH NW STREET,NORTON,VA,24273,Norton City,0.986935,0.839602,0.887471,0.885278,7 out of 10,0 out of 9,7 out of 10,"100 15TH NW STREET NORTON, VA 24273 (36.932031, -82.64338)"
520044,ST NICHOLAS HOSPITAL,3100 SUPERIOR AVE,SHEBOYGAN,WI,53081,Sheboygan,0.986935,0.839602,0.971418,0.923854,4 out of 10,3 out of 9,4 out of 10,"3100 SUPERIOR AVE SHEBOYGAN, WI 53081 (43.761118, -87.747143)"
050641,EAST LOS ANGELES DOCTORS HOSPITAL,4060 WHITTIER BLVD,LOS ANGELES,CA,90023,Los Angeles,0.986935,0.839602,1.089870,1.163142,0 out of 10,0 out of 9,0 out of 10,"4060 WHITTIER BLVD LOS ANGELES, CA 90023 (34.02393, -118.184285)"
190054,IBERIA MEDICAL CENTER,2315 E MAIN STREET,NEW IBERIA,LA,70562,Iberia,0.986935,0.839602,1.160490,1.093311,0 out of 10,2 out of 9,2 out of 10,"2315 E MAIN STREET NEW IBERIA, LA 70562 (29.989047, -91.785783)"
330401,ST CATHERINE OF SIENA HOSPITAL,50 ROUTE 25A,SMITHTOWN,NY,11787,Suffolk,0.986935,0.839602,1.090233,1.066861,0 out of 10,0 out of 9,0 out of 10,"50 ROUTE 25A SMITHTOWN, NY 11787 (40.867592, -73.220142)"
450656,NACOGDOCHES MEDICAL CENTER,4920 NE STALLINGS DRIVE,NACOGDOCHES,TX,75961,Nacogdoches,0.986935,0.839602,1.053151,1.108770,0 out of 10,0 out of 9,0 out of 10,"4920 NE STALLINGS DRIVE NACOGDOCHES, TX 75961 (31.652058, -94.654265)"
440031,ROANE MEDICAL CENTER,8045 ROANE MEDICAL CENTER DRIVE,HARRIMAN,TN,37748,Roane,0.986935,0.839602,0.947850,0.910226,5 out of 10,3 out of 9,5 out of 10,"8045 ROANE MEDICAL CENTER DRIVE HARRIMAN, TN 37748 (35.888312, -84.554418)"
050688,ST LOUISE REGIONAL HOSPITAL,9400 NO NAME UNO,GILROY,CA,95020,Santa Clara,0.986935,0.839602,0.975421,0.948197,3 out of 10,2 out of 9,3 out of 10,"9400 NO NAME UNO GILROY, CA 95020 (37.03511, -121.573038)"
240020,CAMBRIDGE MEDICAL CENTER,701 SOUTH DELLWOOD AVENUE,CAMBRIDGE,MN,55008,Isanti,0.986935,0.839602,0.818262,0.864359,8 out of 10,0 out of 9,8 out of 10,"701 SOUTH DELLWOOD AVENUE CAMBRIDGE, MN 55008 (45.56657, -93.229319)"
450101,BAYLOR SCOTT & WHITE MEDICAL CENTER HILLCREST,100 HILLCREST MEDICAL BLVD,WACO,TX,76712,McLennan,0.986935,0.839602,1.025736,1.052527,0 out of 10,0 out of 9,0 out of 10,"100 HILLCREST MEDICAL BLVD WACO, TX 76712 (31.489212, -97.156804)"
390211,SHARON REGIONAL HEALTH SYSTEM,740 EAST STATE STREET,SHARON,PA,16146,Mercer,0.986935,0.839602,0.955533,1.014563,0 out of 10,0 out of 9,0 out of 10,"740 EAST STATE STREET SHARON, PA 16146 (41.233009, -80.495497)"
520062,OCONOMOWOC MEMORIAL HOSPITAL,791 E SUMMIT AVE,OCONOMOWOC,WI,53066,Waukesha,0.986935,0.839602,0.912584,0.942021,3 out of 10,0 out of 9,3 out of 10,"791 E SUMMIT AVE OCONOMOWOC, WI 53066 (43.101136, -88.486109)"
100125,HOMESTEAD HOSPITAL,975 BAPTIST WAY,HOMESTEAD,FL,33033,Miami-Dade,0.986935,0.839602,1.071848,1.123787,0 out of 10,0 out of 9,0 out of 10,"975 BAPTIST WAY HOMESTEAD, FL 33033 (25.477839, -80.430371)"
010120,MONROE COUNTY HOSPITAL,"2016 SOUTH ALABAMA AVENUE, BOX 886",MONROEVILLE,AL,36460,Monroe,0.986935,0.839602,1.040008,1.085824,0 out of 10,0 out of 9,0 out of 10,"2016 SOUTH ALABAMA AVENUE, BOX 886 MONROEVILLE, AL 36460 (31.497839, -87.319411)"
190013,WEST CALCASIEU CAMERON HOSPITAL,701 EAST CYPRESS STREET,SULPHUR,LA,70663,Calcasieu,0.986935,0.839602,1.021090,1.028656,0 out of 10,0 out of 9,0 out of 10,"701 EAST CYPRESS STREET SULPHUR, LA 70663 (30.231074, -93.36929)"
110010,EMORY UNIVERSITY HOSPITAL,"1364 CLIFTON ROAD, NE",ATLANTA,GA,30322,DeKalb,0.986935,0.839602,0.963537,0.957917,2 out of 10,0 out of 9,2 out of 10,"1364 CLIFTON ROAD, NE ATLANTA, GA 30322 (33.791881, -84.320977)"
160045,ST LUKES HOSPITAL,1026 A AVE NE,CEDAR RAPIDS,IA,52402,Linn,0.986935,0.839602,0.925628,0.916808,5 out of 10,1 out of 9,5 out of 10,"1026 A AVE NE CEDAR RAPIDS, IA 52402 (41.985632, -91.659013)"
330125,ROCHESTER GENERAL HOSPITAL,1425 PORTLAND AVENUE,ROCHESTER,NY,14621,Monroe,0.986935,0.839602,0.921193,0.912823,5 out of 10,1 out of 9,5 out of 10,"1425 PORTLAND AVENUE ROCHESTER, NY 14621 (43.192542, -77.584424)"
340030,DUKE UNIVERSITY HOSPITAL,PO BOX 3814 DUMC  ERWIN RD,DURHAM,NC,27710,Durham,0.986935,0.839602,0.966808,0.949803,3 out of 10,1 out of 9,3 out of 10,"PO BOX 3814 DUMC ERWIN RD DURHAM, NC 27710"
520198,AURORA MEDICAL CTR OSHKOSH,855 N WESTHAVEN DRIVE,OSHKOSH,WI,54904,Winnebago,0.986935,0.839602,0.928269,0.937384,4 out of 10,0 out of 9,4 out of 10,"855 N WESTHAVEN DRIVE OSHKOSH, WI 54904 (44.027541, -88.593291)"
180141,UNIVERSITY OF LOUISVILLE HOSPITAL,530 SOUTH JACKSON STREET,LOUISVILLE,KY,40202,Jefferson,0.986935,0.839602,1.048457,1.074487,0 out of 10,0 out of 9,0 out of 10,"530 SOUTH JACKSON STREET LOUISVILLE, KY 40202 (38.248446, -85.74507)"
250104,ANDERSON REGIONAL MEDICAL CTR,2124 14 ST,MERIDIAN,MS,39301,Lauderdale,0.986935,0.839602,1.070997,1.041834,0 out of 10,1 out of 9,1 out of 10,"2124 14 ST MERIDIAN, MS 39301 (32.370775, -88.699858)"
100023,CITRUS MEMORIAL HOSPITAL,502 W HIGHLAND BLVD,INVERNESS,FL,34452,Citrus,0.986935,0.839602,1.038574,1.021282,0 out of 10,0 out of 9,0 out of 10,"502 W HIGHLAND BLVD INVERNESS, FL 34452 (28.832242, -82.335335)"
230005,PROMEDICA BIXBY HOSPITAL,818 RIVERSIDE AVENUE,ADRIAN,MI,49221,Lenawee,0.986935,0.839602,0.938770,0.915472,5 out of 10,2 out of 9,5 out of 10,"818 RIVERSIDE AVENUE ADRIAN, MI 49221 (41.912713, -84.049555)"
220126,NORWOOD HOSPITAL,800 WASHINGTON STREET,NORWOOD,MA,02062,Norfolk,0.986935,0.839602,1.014649,1.031912,0 out of 10,0 out of 9,0 out of 10,"800 WASHINGTON STREET NORWOOD, MA 02062 (42.189462, -71.20264)"
450675,MEDICAL CITY ARLINGTON,3301 MATLOCK ROAD,ARLINGTON,TX,76015,Tarrant,0.986935,0.839602,1.087182,1.085487,0 out of 10,0 out of 9,0 out of 10,"3301 MATLOCK ROAD ARLINGTON, TX 76015 (32.691751, -97.1148)"
530032,EVANSTON REGIONAL HOSPITAL,190 ARROWHEAD DR,EVANSTON,WY,82930,Uinta,0.986935,0.839602,0.910769,1.015724,0 out of 10,0 out of 9,0 out of 10,"190 ARROWHEAD DR EVANSTON, WY 82930 (41.242214, -110.991336)"
240076,BUFFALO HOSPITAL,303 CATLIN ST,BUFFALO,MN,55313,Wright,0.986935,0.839602,0.917260,0.828321,10 out of 10,9 out of 9,10 out of 10,"303 CATLIN ST BUFFALO, MN 55313 (45.1932, -93.87053)"
440120,TENNOVA HEALTHCARE,900 EAST OAK HILL AVENUE,KNOXVILLE,TN,37917,Knox,0.986935,0.839602,0.969762,0.993442,0 out of 10,0 out of 9,0 out of 10,"900 EAST OAK HILL AVENUE KNOXVILLE, TN 37917 (35.992086, -83.92832)"
440083,JAMESTOWN REGIONAL MEDICAL CENTER,436 CENTRAL AVENUE WEST,JAMESTOWN,TN,38556,Fentress,0.986935,0.839602,1.010250,0.985635,1 out of 10,1 out of 9,1 out of 10,"436 CENTRAL AVENUE WEST JAMESTOWN, TN 38556 (36.431359, -84.942946)"
140184,HEARTLAND REGIONAL MEDICAL CENTER,3333 W DE YOUNG,MARION,IL,62959,Williamson,0.986935,0.839602,0.964043,0.983622,1 out of 10,0 out of 9,1 out of 10,"3333 W DE YOUNG MARION, IL 62959 (37.744891, -88.988848)"
340073,DUKE HEALTH RALEIGH HOSPITAL,3400 WAKE FOREST RD,RALEIGH,NC,27609,Wake,0.986935,0.839602,0.991652,0.974990,1 out of 10,1 out of 9,1 out of 10,"3400 WAKE FOREST RD RALEIGH, NC 27609 (35.828998, -78.619549)"
490017,BON SECOURS MARYVIEW MEDICAL CENTER,3636 HIGH STREET,PORTSMOUTH,VA,23707,Portsmouth City,0.986935,0.839602,0.971613,0.954535,2 out of 10,1 out of 9,2 out of 10,"3636 HIGH STREET PORTSMOUTH, VA 23707 (36.836211, -76.348365)"
100017,HALIFAX HEALTH MEDICAL CENTER,303 N CLYDE MORRIS BLVD,DAYTONA BEACH,FL,32114,Volusia,0.986935,0.839602,1.055276,1.055970,0 out of 10,0 out of 9,0 out of 10,"303 N CLYDE MORRIS BLVD DAYTONA BEACH, FL 32114 (29.20055, -81.05534)"
330008,WYOMING COUNTY COMMUNITY HOSPITAL,400 NORTH MAIN STREET,WARSAW,NY,14569,Wyoming,0.986935,0.839602,0.861452,0.937546,4 out of 10,0 out of 9,4 out of 10,"400 NORTH MAIN STREET WARSAW, NY 14569 (42.753447, -78.132533)"
450229,HENDRICK MEDICAL CENTER,1900 PINE,ABILENE,TX,79601,Taylor,0.986935,0.839602,1.018404,1.021531,0 out of 10,0 out of 9,0 out of 10,"1900 PINE ABILENE, TX 79601 (32.471553, -99.73118)"
360008,SOUTHERN OHIO MEDICAL CENTER,1805 27TH STREET,PORTSMOUTH,OH,45662,Scioto,0.986935,0.839602,1.075595,1.064896,0 out of 10,0 out of 9,0 out of 10,"1805 27TH STREET PORTSMOUTH, OH 45662 (38.753913, -82.977832)"
490116,LEWISGALE HOSPITAL PULASKI,2400 LEE HIGHWAY,PULASKI,VA,24301,Pulaski,0.986935,0.839602,0.978737,0.957237,2 out of 10,1 out of 9,2 out of 10,"2400 LEE HIGHWAY PULASKI, VA 24301 (37.068744, -80.758807)"
180130,BAPTIST HEALTH LOUISVILLE,4000 KRESGE WAY,LOUISVILLE,KY,40207,Jefferson,0.986935,0.839602,0.971692,0.989219,0 out of 10,0 out of 9,0 out of 10,"4000 KRESGE WAY LOUISVILLE, KY 40207 (38.239235, -85.639048)"
190041,CHRISTUS HEALTH SHREVEPORT - BOSSIER,1453 E BERT KOUNS INDUSTRIAL DRIVE,SHREVEPORT,LA,71105,Caddo,0.986935,0.839602,1.085131,1.046889,0 out of 10,1 out of 9,1 out of 10,"1453 E BERT KOUNS INDUSTRIAL DRIVE SHREVEPORT, LA 71105 (32.425962, -93.718926)"
330045,HUNTINGTON HOSPITAL,270 PARK AVENUE,HUNTINGTON,NY,11743,Suffolk,0.986935,0.839602,1.043145,0.997223,0 out of 10,2 out of 9,2 out of 10,"270 PARK AVENUE HUNTINGTON, NY 11743 (40.879201, -73.417488)"
180002,WHITESBURG ARH HOSPITAL,240 HOSPITAL ROAD,WHITESBURG,KY,41858,Letcher,0.986935,0.839602,0.850999,0.885117,7 out of 10,0 out of 9,7 out of 10,"240 HOSPITAL ROAD WHITESBURG, KY 41858 (37.11182, -82.813612)"
190088,SPRINGHILL MEDICAL CENTER,2001 DOCTORS DRIVE,SPRINGHILL,LA,71075,Webster,0.986935,0.839602,1.041361,0.944696,3 out of 10,4 out of 9,4 out of 10,"2001 DOCTORS DRIVE SPRINGHILL, LA 71075 (33.010622, -93.442839)"
430027,SANFORD USD MEDICAL CENTER,1305 W 18TH ST  POST OFFICE BOX 5039,SIOUX FALLS,SD,57117,Minnehaha,0.986935,0.839602,0.997725,1.018677,0 out of 10,0 out of 9,0 out of 10,"1305 W 18TH ST POST OFFICE BOX 5039 SIOUX FALLS, SD 57117 (43.536678, -96.743388)"
110165,SOUTHERN REGIONAL MEDICAL CENTER,"11 UPPER RIVERDALE ROAD, SW",RIVERDALE,GA,30274,Clayton,0.986935,0.839602,0.997506,0.948770,3 out of 10,3 out of 9,3 out of 10,"11 UPPER RIVERDALE ROAD, SW RIVERDALE, GA 30274 (33.577524, -84.390432)"
490009,UNIVERSITY OF VIRGINIA MEDICAL CENTER,1215 LEE STREET,CHARLOTTESVILLE,VA,22908,Charlottesville City,0.986935,0.839602,1.027065,1.034134,0 out of 10,0 out of 9,0 out of 10,"1215 LEE STREET CHARLOTTESVILLE, VA 22908 (38.031829, -78.498455)"
110015,TANNER MEDICAL CENTER VILLA RICA,601 DALLAS HIGHWAY,VILLA RICA,GA,30180,Carroll,0.986935,0.839602,0.906174,0.970080,2 out of 10,0 out of 9,2 out of 10,"601 DALLAS HIGHWAY VILLA RICA, GA 30180 (33.742992, -84.919477)"
