Facility ID,Facility Name,Address,City,State,ZIP Code,County Name,Communication with Nurses Floor,Communication with Nurses Achievement Threshold,Communication with Nurses Benchmark,Communication with Nurses Baseline Rate,Communication with Nurses Performance Rate,Communication with Nurses Achievement Points,Communication with Nurses Improvement Points,Communication with Nurses Dimension Score,Communication with Doctors Floor,Communication with Doctors Achievement Threshold,Communication with Doctors Benchmark,Communication with Doctors Baseline Rate,Communication with Doctors Performance Rate,Communication with Doctors Achievement Points,Communication with Doctors Improvement Points,Communication with Doctors Dimension Score,Responsiveness of Hospital Staff Floor,Responsiveness of Hospital Staff Achievement Threshold,Responsiveness of Hospital Staff Benchmark,Responsiveness of Hospital Staff Baseline Rate,Responsiveness of Hospital Staff Performance Rate,Responsiveness of Hospital Staff Achievement Points,Responsiveness of Hospital Staff Improvement Points,Responsiveness of Hospital Staff Dimension Score,Care Transition Floor,Care Transition Achievement Threshold,Care Transition Benchmark,Care Transition Baseline Rate,Care Transition Performance Rate,Care Transition Achievement Points,Care Transition Improvement Points,Care Transition Dimension Score,Communication about Medicines Floor,Communication about Medicines Achievement Threshold,Communication about Medicines Benchmark,Communication about Medicines Baseline Rate,Communication about Medicines Performance Rate,Communication about Medicines Achievement Points,Communication about Medicines Improvement Points,Communication about Medicines Dimension Score,Cleanliness and Quietness of Hospital Environment Floor,Cleanliness and Quietness of Hospital Environment Achievement Threshold,Cleanliness and Quietness of Hospital Environment Benchmark,Cleanliness and Quietness of Hospital Environment Baseline Rate,Cleanliness and Quietness of Hospital Environment Performance Rate,Cleanliness and Quietness of Hospital Environment Achievement Points,Cleanliness and Quietness of Hospital Environment Improvement Points,Cleanliness and Quietness of Hospital Environment Dimension Score,Discharge Information Floor,Discharge Information Achievement Threshold,Discharge Information Benchmark,Discharge Information Baseline Rate,Discharge Information Performance Rate,Discharge Information Achievement Points,Discharge Information Improvement Points,Discharge Information Dimension Score,Overall Rating of Hospital Floor,Overall Rating of Hospital Achievement Threshold,Overall Rating of Hospital Benchmark,Overall Rating of Hospital Baseline Rate,Overall Rating of Hospital Performance Rate,Overall  Rating of Hospital Achievement Points,Overall Rating of Hospital Improvement Points,Overall Rating of Hospital Dimension Score,HCAHPS Base Score,HCAHPS Consistency Score,Location
310081,INSPIRA MEDICAL CENTER WOODBURY,509 N BROAD ST,WOODBURY,NJ,08096,Gloucester,28.10,78.69,86.97,80.19,82.14,4 out of 10,2 out of 9,4 out of 10,33.46,80.32,88.62,77.15,78.45,0 out of 10,1 out of 9,1 out of 10,32.72,65.16,80.15,61.79,62.90,0 out of 10,0 out of 9,0 out of 10,11.30,51.42,62.77,47.12,48.73,0 out of 10,1 out of 9,1 out of 10,11.38,63.26,73.53,60.56,61.92,0 out of 10,1 out of 9,1 out of 10,22.85,65.58,79.06,59.36,61.64,0 out of 10,1 out of 9,1 out of 10,61.96,87.05,91.87,86.22,89.36,5 out of 10,5 out of 9,5 out of 10,28.39,70.85,84.83,62.76,64.06,0 out of 10,0 out of 9,0 out of 10,13,16,"509 N BROAD ST WOODBURY, NJ 08096 (39.843556, -75.149023)"
270003,ST PETERS HOSPITAL,2475 BROADWAY,HELENA,MT,59601,Lewis and Clark,28.10,78.69,86.97,82.51,82.92,5 out of 10,0 out of 9,5 out of 10,33.46,80.32,88.62,84.33,83.64,4 out of 10,0 out of 9,4 out of 10,32.72,65.16,80.15,73.45,75.61,7 out of 10,3 out of 9,7 out of 10,11.30,51.42,62.77,50.43,52.07,1 out of 10,1 out of 9,1 out of 10,11.38,63.26,73.53,63.77,68.16,5 out of 10,4 out of 9,5 out of 10,22.85,65.58,79.06,64.45,65.25,0 out of 10,0 out of 9,0 out of 10,61.96,87.05,91.87,85.98,88.52,3 out of 10,4 out of 9,4 out of 10,28.39,70.85,84.83,66.47,67.98,0 out of 10,0 out of 9,0 out of 10,26,18,"2475 BROADWAY HELENA, MT 59601"
330229,BROOKS MEMORIAL HOSPITAL,529 CENTRAL AVENUE,DUNKIRK,NY,14048,Chautauqua,28.10,78.69,86.97,74.71,76.85,0 out of 10,1 out of 9,1 out of 10,33.46,80.32,88.62,78.09,77.04,0 out of 10,0 out of 9,0 out of 10,32.72,65.16,80.15,61.84,64.36,0 out of 10,1 out of 9,1 out of 10,11.30,51.42,62.77,48.30,45.83,0 out of 10,0 out of 9,0 out of 10,11.38,63.26,73.53,56.29,61.49,0 out of 10,3 out of 9,3 out of 10,22.85,65.58,79.06,57.77,66.57,1 out of 10,4 out of 9,4 out of 10,61.96,87.05,91.87,87.71,88.50,3 out of 10,1 out of 9,3 out of 10,28.39,70.85,84.83,56.40,54.55,0 out of 10,0 out of 9,0 out of 10,12,12,"529 CENTRAL AVENUE DUNKIRK, NY 14048 (42.480106, -79.333617)"
390081,DELAWARE COUNTY MEMORIAL HOSPITAL,501 NORTH LANSDOWNE AVE,DREXEL HILL,PA,19026,Delaware,28.10,78.69,86.97,74.67,73.63,0 out of 10,0 out of 9,0 out of 10,33.46,80.32,88.62,72.92,76.82,0 out of 10,2 out of 9,2 out of 10,32.72,65.16,80.15,55.06,58.31,0 out of 10,1 out of 9,1 out of 10,11.30,51.42,62.77,49.59,45.79,0 out of 10,0 out of 9,0 out of 10,11.38,63.26,73.53,55.68,56.66,0 out of 10,0 out of 9,0 out of 10,22.85,65.58,79.06,58.68,59.82,0 out of 10,0 out of 9,0 out of 10,61.96,87.05,91.87,87.62,87.11,1 out of 10,0 out of 9,1 out of 10,28.39,70.85,84.83,55.01,60.86,0 out of 10,1 out of 9,1 out of 10,5,15,"501 NORTH LANSDOWNE AVE DREXEL HILL, PA 19026 (39.953877, -75.283921)"
180080,BAPTIST HEALTH CORBIN,ONE TRILLIUM WAY,CORBIN,KY,40701,Whitley,28.10,78.69,86.97,81.13,83.30,6 out of 10,3 out of 9,6 out of 10,33.46,80.32,88.62,85.57,85.65,6 out of 10,0 out of 9,6 out of 10,32.72,65.16,80.15,66.61,67.32,2 out of 10,0 out of 9,2 out of 10,11.30,51.42,62.77,49.07,52.45,1 out of 10,2 out of 9,2 out of 10,11.38,63.26,73.53,63.52,70.24,7 out of 10,6 out of 9,7 out of 10,22.85,65.58,79.06,63.94,65.01,0 out of 10,0 out of 9,0 out of 10,61.96,87.05,91.87,87.65,87.49,1 out of 10,0 out of 9,1 out of 10,28.39,70.85,84.83,72.07,72.84,2 out of 10,0 out of 9,2 out of 10,26,19,"ONE TRILLIUM WAY CORBIN, KY 40701"
070005,WATERBURY HOSPITAL,64 ROBBINS ST,WATERBURY,CT,06721,New Haven,28.10,78.69,86.97,75.81,73.78,0 out of 10,0 out of 9,0 out of 10,33.46,80.32,88.62,76.73,74.18,0 out of 10,0 out of 9,0 out of 10,32.72,65.16,80.15,55.55,56.00,0 out of 10,0 out of 9,0 out of 10,11.30,51.42,62.77,42.68,45.13,0 out of 10,1 out of 9,1 out of 10,11.38,63.26,73.53,57.70,56.89,0 out of 10,0 out of 9,0 out of 10,22.85,65.58,79.06,58.02,60.59,0 out of 10,1 out of 9,1 out of 10,61.96,87.05,91.87,87.51,88.84,4 out of 10,3 out of 9,4 out of 10,28.39,70.85,84.83,63.18,63.18,0 out of 10,0 out of 9,0 out of 10,6,14,"64 ROBBINS ST WATERBURY, CT 06721 (41.558269, -73.058608)"
460057,PARK CITY HOSPITAL,900 ROUND VALLEY DRIVE,PARK CITY,UT,84060,Summit,28.10,78.69,86.97,82.48,77.69,0 out of 10,0 out of 9,0 out of 10,33.46,80.32,88.62,83.58,79.48,0 out of 10,0 out of 9,0 out of 10,32.72,65.16,80.15,74.47,71.53,4 out of 10,0 out of 9,4 out of 10,11.30,51.42,62.77,61.65,57.21,5 out of 10,0 out of 9,5 out of 10,11.38,63.26,73.53,71.11,64.26,1 out of 10,0 out of 9,1 out of 10,22.85,65.58,79.06,72.54,68.64,3 out of 10,0 out of 9,3 out of 10,61.96,87.05,91.87,91.25,89.26,5 out of 10,0 out of 9,5 out of 10,28.39,70.85,84.83,83.56,80.12,6 out of 10,0 out of 9,6 out of 10,24,19,"900 ROUND VALLEY DRIVE PARK CITY, UT 84060 (40.687697, -111.468952)"
050014,SUTTER AMADOR HOSPITAL,200 MISSION BLVD,JACKSON,CA,95642,Amador,28.10,78.69,86.97,75.82,82.84,5 out of 10,6 out of 9,6 out of 10,33.46,80.32,88.62,80.38,80.78,1 out of 10,0 out of 9,1 out of 10,32.72,65.16,80.15,65.69,68.87,3 out of 10,2 out of 9,3 out of 10,11.30,51.42,62.77,48.13,51.78,1 out of 10,2 out of 9,2 out of 10,11.38,63.26,73.53,60.80,66.23,3 out of 10,4 out of 9,4 out of 10,22.85,65.58,79.06,71.73,73.65,6 out of 10,2 out of 9,6 out of 10,61.96,87.05,91.87,85.74,89.35,5 out of 10,5 out of 9,5 out of 10,28.39,70.85,84.83,71.36,78.76,6 out of 10,5 out of 9,6 out of 10,33,20,"200 MISSION BLVD JACKSON, CA 95642 (38.349561, -120.765905)"
230040,SPECTRUM HEALTH PENNOCK,1009 W GREEN ST,HASTINGS,MI,49058,Barry,28.10,78.69,86.97,80.93,86.26,9 out of 10,8 out of 9,9 out of 10,33.46,80.32,88.62,80.92,86.14,7 out of 10,6 out of 9,7 out of 10,32.72,65.16,80.15,70.68,76.30,7 out of 10,5 out of 9,7 out of 10,11.30,51.42,62.77,53.17,55.21,4 out of 10,2 out of 9,4 out of 10,11.38,63.26,73.53,67.06,70.04,6 out of 10,4 out of 9,6 out of 10,22.85,65.58,79.06,67.10,72.61,5 out of 10,4 out of 9,5 out of 10,61.96,87.05,91.87,92.99,90.75,7 out of 10,0 out of 9,7 out of 10,28.39,70.85,84.83,76.23,76.69,4 out of 10,0 out of 9,4 out of 10,49,20,"1009 W GREEN ST HASTINGS, MI 49058 (42.6442, -85.3021)"
180056,METHODIST HOSPITAL,1305 N ELM ST,HENDERSON,KY,42420,Henderson,28.10,78.69,86.97,82.50,75.27,0 out of 10,0 out of 9,0 out of 10,33.46,80.32,88.62,82.92,80.50,1 out of 10,0 out of 9,1 out of 10,32.72,65.16,80.15,69.50,54.60,0 out of 10,0 out of 9,0 out of 10,11.30,51.42,62.77,52.39,44.51,0 out of 10,0 out of 9,0 out of 10,11.38,63.26,73.53,66.05,62.89,0 out of 10,0 out of 9,0 out of 10,22.85,65.58,79.06,72.59,67.10,2 out of 10,0 out of 9,2 out of 10,61.96,87.05,91.87,86.67,82.90,0 out of 10,0 out of 9,0 out of 10,28.39,70.85,84.83,70.89,64.48,0 out of 10,0 out of 9,0 out of 10,3,13,"1305 N ELM ST HENDERSON, KY 42420 (37.853858, -87.581257)"
050568,MADERA COMMUNITY HOSPITAL,1250 E ALMOND AVE,MADERA,CA,93637,Madera,28.10,78.69,86.97,73.01,74.11,0 out of 10,0 out of 9,0 out of 10,33.46,80.32,88.62,70.89,72.62,0 out of 10,0 out of 9,0 out of 10,32.72,65.16,80.15,60.98,59.25,0 out of 10,0 out of 9,0 out of 10,11.30,51.42,62.77,46.24,48.63,0 out of 10,1 out of 9,1 out of 10,11.38,63.26,73.53,59.54,57.30,0 out of 10,0 out of 9,0 out of 10,22.85,65.58,79.06,63.57,54.44,0 out of 10,0 out of 9,0 out of 10,61.96,87.05,91.87,85.82,86.96,0 out of 10,1 out of 9,1 out of 10,28.39,70.85,84.83,61.88,64.01,0 out of 10,0 out of 9,0 out of 10,2,14,"1250 E ALMOND AVE MADERA, CA 93637 (36.945427, -120.045467)"
050195,WASHINGTON HOSPITAL,2000 MOWRY AVE,FREMONT,CA,94538,Alameda,28.10,78.69,86.97,76.42,77.19,0 out of 10,0 out of 9,0 out of 10,33.46,80.32,88.62,80.24,81.06,1 out of 10,0 out of 9,1 out of 10,32.72,65.16,80.15,62.99,63.72,0 out of 10,0 out of 9,0 out of 10,11.30,51.42,62.77,52.13,51.16,0 out of 10,0 out of 9,0 out of 10,11.38,63.26,73.53,61.85,60.46,0 out of 10,0 out of 9,0 out of 10,22.85,65.58,79.06,63.39,64.84,0 out of 10,0 out of 9,0 out of 10,61.96,87.05,91.87,84.96,84.77,0 out of 10,0 out of 9,0 out of 10,28.39,70.85,84.83,69.44,69.90,0 out of 10,0 out of 9,0 out of 10,1,18,"2000 MOWRY AVE FREMONT, CA 94538 (37.557653, -121.98087)"
250084,MERIT HEALTH NATCHEZ,52 SERGEANT PRENTISS DRIVE,NATCHEZ,MS,39120,Adams,28.10,78.69,86.97,72.75,77.69,0 out of 10,3 out of 9,3 out of 10,33.46,80.32,88.62,83.38,83.93,4 out of 10,1 out of 9,4 out of 10,32.72,65.16,80.15,58.63,62.43,0 out of 10,1 out of 9,1 out of 10,11.30,51.42,62.77,43.66,47.21,0 out of 10,1 out of 9,1 out of 10,11.38,63.26,73.53,64.06,64.56,2 out of 10,0 out of 9,2 out of 10,22.85,65.58,79.06,65.51,68.76,3 out of 10,2 out of 9,3 out of 10,61.96,87.05,91.87,81.18,87.11,1 out of 10,5 out of 9,5 out of 10,28.39,70.85,84.83,58.15,67.39,0 out of 10,3 out of 9,3 out of 10,22,17,"52 SERGEANT PRENTISS DRIVE NATCHEZ, MS 39120"
260091,SSM HEALTH ST MARY'S HOSPITAL - ST LOUIS,6420 CLAYTON RD,RICHMOND HEIGHTS,MO,63117,Saint Louis,28.10,78.69,86.97,82.19,79.37,1 out of 10,0 out of 9,1 out of 10,33.46,80.32,88.62,81.00,78.18,0 out of 10,0 out of 9,0 out of 10,32.72,65.16,80.15,66.89,56.78,0 out of 10,0 out of 9,0 out of 10,11.30,51.42,62.77,55.90,48.94,0 out of 10,0 out of 9,0 out of 10,11.38,63.26,73.53,64.00,61.23,0 out of 10,0 out of 9,0 out of 10,22.85,65.58,79.06,66.64,62.09,0 out of 10,0 out of 9,0 out of 10,61.96,87.05,91.87,87.12,84.94,0 out of 10,0 out of 9,0 out of 10,28.39,70.85,84.83,75.37,69.54,0 out of 10,0 out of 9,0 out of 10,1,14,"6420 CLAYTON RD RICHMOND HEIGHTS, MO 63117 (38.633943, -90.310138)"
380089,LEGACY MERIDIAN PARK MEDICAL CENTER,19300 SW 65TH AVENUE,TUALATIN,OR,97062,Washington,28.10,78.69,86.97,79.69,80.02,2 out of 10,0 out of 9,2 out of 10,33.46,80.32,88.62,78.35,78.83,0 out of 10,0 out of 9,0 out of 10,32.72,65.16,80.15,68.76,72.03,5 out of 10,2 out of 9,5 out of 10,11.30,51.42,62.77,53.32,57.89,6 out of 10,4 out of 9,6 out of 10,11.38,63.26,73.53,64.85,70.07,6 out of 10,6 out of 9,6 out of 10,22.85,65.58,79.06,63.62,59.54,0 out of 10,0 out of 9,0 out of 10,61.96,87.05,91.87,88.06,89.59,5 out of 10,4 out of 9,5 out of 10,28.39,70.85,84.83,76.39,74.80,3 out of 10,0 out of 9,3 out of 10,27,17,"19300 SW 65TH AVENUE TUALATIN, OR 97062 (45.377481, -122.743931)"
490023,FAUQUIER HOSPITAL,500 HOSPITAL DRIVE,WARRENTON,VA,20186,Fauquier,28.10,78.69,86.97,76.59,73.33,0 out of 10,0 out of 9,0 out of 10,33.46,80.32,88.62,78.48,73.97,0 out of 10,0 out of 9,0 out of 10,32.72,65.16,80.15,59.43,64.97,0 out of 10,2 out of 9,2 out of 10,11.30,51.42,62.77,53.93,49.91,0 out of 10,0 out of 9,0 out of 10,11.38,63.26,73.53,66.31,59.11,0 out of 10,0 out of 9,0 out of 10,22.85,65.58,79.06,67.04,66.24,1 out of 10,0 out of 9,1 out of 10,61.96,87.05,91.87,89.53,87.49,1 out of 10,0 out of 9,1 out of 10,28.39,70.85,84.83,70.42,71.01,1 out of 10,0 out of 9,1 out of 10,5,17,"500 HOSPITAL DRIVE WARRENTON, VA 20186 (38.714858, -77.808306)"
010056,ST VINCENT'S BIRMINGHAM,810 ST VINCENT'S DRIVE,BIRMINGHAM,AL,35205,Jefferson,28.10,78.69,86.97,79.89,80.08,2 out of 10,0 out of 9,2 out of 10,33.46,80.32,88.62,83.67,82.64,3 out of 10,0 out of 9,3 out of 10,32.72,65.16,80.15,65.85,68.39,2 out of 10,1 out of 9,2 out of 10,11.30,51.42,62.77,55.99,56.00,4 out of 10,0 out of 9,4 out of 10,11.38,63.26,73.53,66.05,67.30,4 out of 10,1 out of 9,4 out of 10,22.85,65.58,79.06,66.72,66.25,1 out of 10,0 out of 9,1 out of 10,61.96,87.05,91.87,88.35,87.06,1 out of 10,0 out of 9,1 out of 10,28.39,70.85,84.83,77.57,77.42,5 out of 10,0 out of 9,5 out of 10,22,20,"810 ST VINCENT'S DRIVE BIRMINGHAM, AL 35205 (33.508015, -86.788755)"
