Facility ID,Facility Name,State,FISCAL YEAR,DOMAIN 1 SCORE,DOMAIN 1 FOOTNOTE,DOMAIN 1 START DATE,DOMAIN 1 END DATE,PSI 90 W Z Score,PSI 90 FOOTNOTE,DOMAIN 2 SCORE,DOMAIN 2 FOOTNOTE,CLABSI W Z SCORE,CLABSI FOOTNOTE,CAUTI W Z SCORE,CAUTI FOOTNOTE,SSI W Z SCORE,SSI FOOTNOTE,MRSA W Z SCORE,MRSA FOOTNOTE,CDI W Z SCORE,CDI FOOTNOTE,DOMAIN 2 START DATE,DOMAIN 2 END DATE,TOTAL HAC SCORE,TOTAL HAC FOOTNOTE,PAYMENT REDUCTION,PAYMENT REDUCTION FOOTNOTE
420071,SELF REGIONAL HEALTHCARE,SC,2019,-1.4308,,10/01/2015,06/30/2017,-1.4308,,0.2392,,0.8353,,1.1418,,-0.2672,,0.0241,,-0.5377,,01/01/2016,12/31/2017,-0.0113,,No,
330094,COLUMBIA MEMORIAL HOSPITAL,NY,2019,0.9498,,10/01/2015,06/30/2017,0.9498,,0.8876,,2.2018,,0.4615,,0.5897,,-0.3438,,1.529,,01/01/2016,12/31/2017,0.897,,Yes,
100302,ST CLOUD REGIONAL MEDICAL CENTER,FL,2019,-0.724,,10/01/2015,06/30/2017,-0.724,,-0.1641,,-0.3281,,-0.0514,,-1.4966,,0.8417,,0.2138,,01/01/2016,12/31/2017,-0.2481,,No,
140015,BLESSING HOSPITAL,IL,2019,-0.7532,,10/01/2015,06/30/2017,-0.7532,,0.0487,,-1.3622,,-0.8591,,0.3475,,0.1461,,1.9711,,01/01/2016,12/31/2017,-0.0716,,No,
190040,SLIDELL MEMORIAL HOSPITAL,LA,2019,0.2958,,10/01/2015,06/30/2017,0.2958,,-0.3796,,-0.0419,,-1.0527,,-1.4966,,1.3333,,-0.6399,,01/01/2016,12/31/2017,-0.2783,,No,
130002,ST LUKE'S MAGIC VALLEY RMC,ID,2019,-1.2681,,10/01/2015,06/30/2017,-1.2681,,-0.8666,,-0.5275,,-0.4701,,-0.915,,-1.4406,,-0.9798,,01/01/2016,12/31/2017,-0.9268,,No,
050327,LOMA LINDA UNIVERSITY MEDICAL CENTER,CA,2019,-0.5974,,10/01/2015,06/30/2017,-0.5974,,0.9186,,0.5897,,-0.1543,,2.1365,,0.3869,,1.634,,01/01/2016,12/31/2017,0.6912,,Yes,
150065,SCHNECK MEDICAL CENTER,IN,2019,-0.7072,,10/01/2015,06/30/2017,-0.7072,,-0.484,,-1.4878,,-0.3916,,-1.0709,,-1.4406,,1.9711,,01/01/2016,12/31/2017,-0.5175,,No,
150126,FRANCISCAN HEALTH CROWN POINT,IN,2019,-1.5577,,10/01/2015,06/30/2017,-1.5577,,-0.0937,,0.1391,,-0.2014,,-0.5388,,0.198,,-0.0652,,01/01/2016,12/31/2017,-0.3133,,No,
330184,MONTEFIORE NEW ROCHELLE HOSPITAL,NY,2019,0.2104,,10/01/2015,06/30/2017,0.2104,,0.9139,,1.0606,,2.096,,-0.8673,,2.196,,0.084,,01/01/2016,12/31/2017,0.8083,,Yes,
340050,SOUTHEASTERN REGIONAL MEDICAL CENTER,NC,2019,0.0228,,10/01/2015,06/30/2017,0.0228,,0.1295,,0.3219,,0.4074,,0.1566,,-0.1264,,-0.1122,,01/01/2016,12/31/2017,0.1135,,No,
310110,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL HAMILTON,NJ,2019,-0.39,,10/01/2015,06/30/2017,-0.39,,-0.707,,-1.2551,,-0.9132,,-1.4966,,-0.9791,,1.109,,01/01/2016,12/31/2017,-0.6594,,No,
340107,VIDANT EDGECOMBE HOSPITAL,NC,2019,-0.3642,,10/01/2015,06/30/2017,-0.3642,,-0.2225,,-1.4878,,-0.0444,,0.9915,,-1.4406,,0.8687,,01/01/2016,12/31/2017,-0.2438,,No,
110030,CARTERSVILLE MEDICAL CENTER,GA,2019,-1.2218,,10/01/2015,06/30/2017,-1.2218,,-0.2263,,0.0855,,-0.4439,,0.1273,,-0.9624,,0.0619,,01/01/2016,12/31/2017,-0.3756,,No,
250019,MEMORIAL HOSPITAL AT GULFPORT,MS,2019,2.347,,10/01/2015,06/30/2017,2.347,,-0.4493,,-0.5534,,-0.5765,,-1.0342,,-0.9039,,0.8217,,01/01/2016,12/31/2017,-0.0298,,No,
220010,LAWRENCE GENERAL HOSPITAL,MA,2019,0.3359,,10/01/2015,06/30/2017,0.3359,,0.4854,,-0.7196,,0.5068,,0.6117,,0.7865,,1.2417,,01/01/2016,12/31/2017,0.463,,Yes,
490050,VIRGINIA HOSPITAL CENTER,VA,2019,-0.9738,,10/01/2015,06/30/2017,-0.9738,,0.0128,,-0.7381,,0.4056,,0.2135,,0.1127,,0.0702,,01/01/2016,12/31/2017,-0.1352,,No,
380020,MCKENZIE-WILLAMETTE MEDICAL CENTER,OR,2019,-0.6193,,10/01/2015,06/30/2017,-0.6193,,-0.3818,,-1.4878,,0.2957,,-1.4966,,0.4638,,0.3161,,01/01/2016,12/31/2017,-0.4174,,No,
360123,ST JOHN MEDICAL CENTER,OH,2019,-1.5274,,10/01/2015,06/30/2017,-1.5274,,-0.6318,,-0.8507,,-0.969,,-1.2563,,-0.297,,0.2138,,01/01/2016,12/31/2017,-0.7661,,No,
260068,BOONE HOSPITAL CENTER,MO,2019,-0.5505,,10/01/2015,06/30/2017,-0.5505,,0.1793,,1.0107,,-0.3166,,-0.17,,0.4488,,-0.0763,,01/01/2016,12/31/2017,0.0699,,No,
450271,WISE REGIONAL HEALTH SYSTEM,TX,2019,0.7111,,10/01/2015,06/30/2017,0.7111,,0.4996,,0.4475,,-1.1853,,0.4667,,0.7982,,1.9711,,01/01/2016,12/31/2017,0.5314,,Yes,
390231,ABINGTON MEMORIAL HOSPITAL,PA,2019,0.0494,,10/01/2015,06/30/2017,0.0494,,0.124,,0.0652,,1.3511,,0.7273,,-0.5243,,-0.9991,,01/01/2016,12/31/2017,0.1128,,No,
260105,SSM HEALTH SAINT LOUIS UNIVERSITY HOSPITAL,MO,2019,2.347,,10/01/2015,06/30/2017,2.347,,0.7132,,1.1935,,0.5731,,0.3933,,0.6176,,0.7885,,01/01/2016,12/31/2017,0.9583,,Yes,
450771,TEXAS HEALTH PRESBYTERIAN HOSPITAL PLANO,TX,2019,-1.4285,,10/01/2015,06/30/2017,-1.4285,,-0.2949,,-0.5349,,-0.3078,,-0.8801,,-0.949,,1.1975,,01/01/2016,12/31/2017,-0.4649,,No,
100131,AVENTURA HOSPITAL AND MEDICAL CENTER,FL,2019,-0.7832,,10/01/2015,06/30/2017,-0.7832,,0.505,,1.3228,,-0.498,,1.0943,,0.0107,,0.5951,,01/01/2016,12/31/2017,0.3117,,No,
330101,NEW YORK-PRESBYTERIAN HOSPITAL,NY,2019,0.9708,,10/01/2015,06/30/2017,0.9708,,0.1599,,0.5177,,0.0009,,-0.381,,-0.0077,,0.6697,,01/01/2016,12/31/2017,0.2815,,No,
040026,CHI ST. VINCENT HOSPITAL HOT SPRINGS,AR,2019,-1.4894,,10/01/2015,06/30/2017,-1.4894,,0.1255,,-0.0474,,0.4615,,-0.3535,,0.4003,,0.1669,,01/01/2016,12/31/2017,-0.1167,,No,
050502,SAINT VINCENT MEDICAL CENTER,CA,2019,-1.5577,,10/01/2015,06/30/2017,-1.5577,,0.4104,,1.9858,,-0.0828,,-0.3627,,0.8918,,-0.3802,,01/01/2016,12/31/2017,0.1152,,No,
050481,WEST HILLS HOSPITAL & MEDICAL CENTER,CA,2019,-0.7618,,10/01/2015,06/30/2017,-0.7618,,0.5176,,-0.2432,,-0.2503,,0.2557,,1.5456,,1.2804,,01/01/2016,12/31/2017,0.3257,,No,
100321,ST VINCENTS MEDICAL CENTER - CLAY COUNTY,FL,2019,-0.5952,,10/01/2015,06/30/2017,-0.5952,,-0.9261,,-1.4878,,-1.5202,,-1.0746,,-0.6514,,0.1033,,01/01/2016,12/31/2017,-0.8765,,No,
050438,HUNTINGTON MEMORIAL HOSPITAL,CA,2019,0.1918,,10/01/2015,06/30/2017,0.1918,,-0.1437,,-0.4869,,0.0044,,-0.214,,-0.302,,0.2801,,01/01/2016,12/31/2017,-0.0934,,No,
030083,ABRAZO SCOTTSDALE CAMPUS,AZ,2019,-0.2769,,10/01/2015,06/30/2017,-0.2769,,0.4569,,-1.1351,,-0.0898,,1.3677,,2.196,,-0.0542,,01/01/2016,12/31/2017,0.3468,,Yes,
370149,SSM HEALTH ST ANTHONY HOSPITAL - SHAWNEE,OK,2019,-0.1329,,10/01/2015,06/30/2017,-0.1329,,0.1321,,2.2018,,-0.6131,,-0.3039,,-1.4406,,0.8162,,01/01/2016,12/31/2017,0.0923,,No,
180035,ST ELIZABETH MEDICAL CENTER NORTH,KY,2019,-1.1485,,10/01/2015,06/30/2017,-1.1485,,0.0162,,0.0449,,0.8243,,-0.5186,,-0.4006,,0.1309,,01/01/2016,12/31/2017,-0.1585,,No,
050770,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA,CA,2019,-0.16,,10/01/2015,06/30/2017,-0.16,,0.809,,2.0375,,1.3127,,0.2796,,-0.0278,,0.4432,,01/01/2016,12/31/2017,0.6637,,Yes,
500002,PROVIDENCE ST MARY MEDICAL CENTER,WA,2019,-1.5577,,10/01/2015,06/30/2017,-1.5577,,-0.3577,,-0.8747,,-0.1857,,-1.4966,,2.196,,-1.4274,,01/01/2016,12/31/2017,-0.5377,,No,
050101,SUTTER SOLANO MEDICAL CENTER,CA,2019,1.695,,10/01/2015,06/30/2017,1.695,,0.3541,,0.5029,,0.1318,,1.6264,,-0.3204,,-0.1702,,01/01/2016,12/31/2017,0.5552,,Yes,
340114,REX HOSPITAL,NC,2019,-0.6859,,10/01/2015,06/30/2017,-0.6859,,-0.4266,,-0.6531,,-0.6079,,-0.6049,,-0.4006,,0.1337,,01/01/2016,12/31/2017,-0.4655,,No,
440184,FRANKLIN WOODS COMMUNITY HOSPITAL,TN,2019,-0.5683,,10/01/2015,06/30/2017,-0.5683,,0.1565,,0.6285,,-0.0898,,0.4832,,0.1244,,-0.3636,,01/01/2016,12/31/2017,0.0478,,No,
310075,MONMOUTH MEDICAL CENTER,NJ,2019,-0.9508,,10/01/2015,06/30/2017,-0.9508,,-0.8945,,-1.2976,,-1.2586,,-0.7388,,-0.8721,,-0.3056,,01/01/2016,12/31/2017,-0.903,,No,
450372,BAYLOR SCOTT & WHITE MEDICAL CENTER- WAXAHACHIE,TX,2019,-0.232,,10/01/2015,06/30/2017,-0.232,,0.4382,,2.2018,,-1.5202,,-0.6507,,1.4269,,0.7333,,01/01/2016,12/31/2017,0.3377,,No,
280032,MARY LANNING HEALTHCARE,NE,2019,0.7019,,10/01/2015,06/30/2017,0.7019,,-0.6345,,-1.4878,,2.1658,,-1.4966,,-1.4406,,-0.9135,,01/01/2016,12/31/2017,-0.4341,,No,
110215,PIEDMONT FAYETTE HOSPITAL,GA,2019,1.8532,,10/01/2015,06/30/2017,1.8532,,-0.625,,-0.9504,,-1.1801,,0.5933,,-0.1548,,-1.4329,,01/01/2016,12/31/2017,-0.2533,,No,
330235,AUBURN  COMMUNITY  HOSPITAL,NY,2019,-0.8482,,10/01/2015,06/30/2017,-0.8482,,0.5455,,0.2148,,-0.7806,,0.3089,,2.196,,0.7885,,01/01/2016,12/31/2017,0.3365,,No,
050099,SAN ANTONIO REGIONAL HOSPITAL,CA,2019,-0.177,,10/01/2015,06/30/2017,-0.177,,0.4991,,0.3866,,0.1318,,0.4025,,0.1562,,1.4185,,01/01/2016,12/31/2017,0.3977,,Yes,
420091,CAROLINAS HOSPITAL SYSTEM,SC,2019,1.1739,,10/01/2015,06/30/2017,1.1739,,-0.1323,,0.1908,,0.6411,,-0.1241,,-0.0913,,-1.2782,,01/01/2016,12/31/2017,0.0636,,No,
050603,MEMORIALCARE SADDLEBACK MEDICAL CENTER,CA,2019,0.2728,,10/01/2015,06/30/2017,0.2728,,0.0259,,-0.0326,,1.1767,,-0.3682,,-0.9875,,0.3409,,01/01/2016,12/31/2017,0.0629,,No,
050736,MONTEREY PARK HOSPITAL,CA,2019,1.5047,,10/01/2015,06/30/2017,1.5047,,0.1959,,-0.6974,,-0.9899,,2.1365,,-1.4406,,1.9711,,01/01/2016,12/31/2017,0.3922,,Yes,
150005,HENDRICKS REGIONAL HEALTH,IN,2019,-1.5067,,10/01/2015,06/30/2017,-1.5067,,-0.795,,-1.4878,,-0.1264,,-0.5039,,-1.4406,,-0.4161,,01/01/2016,12/31/2017,-0.9017,,No,
010005,MARSHALL MEDICAL CENTER SOUTH,AL,2019,1.079,,10/01/2015,06/30/2017,1.079,,-0.137,,-0.3761,,0.0201,,-0.1626,,0.8634,,-1.0295,,01/01/2016,12/31/2017,0.0454,,No,
440065,NORTHCREST MEDICAL CENTER,TN,2019,2.347,,10/01/2015,06/30/2017,2.347,,-0.6605,,-0.8766,,-0.0985,,-0.8581,,-0.0528,,-1.4163,,01/01/2016,12/31/2017,-0.2094,,No,
330240,HARLEM HOSPITAL CENTER,NY,2019,0.4939,,10/01/2015,06/30/2017,0.4939,,-0.0246,,-0.1231,,0.308,,0.2337,,-0.0645,,-0.4769,,01/01/2016,12/31/2017,0.0532,,No,
330307,CAYUGA MEDICAL CENTER AT ITHACA,NY,2019,-0.5494,,10/01/2015,06/30/2017,-0.5494,,-0.0291,,-0.3226,,0.8121,,-0.2966,,0.6193,,-0.9577,,01/01/2016,12/31/2017,-0.1071,,No,
390139,MAIN LINE HOSPITAL BRYN MAWR CAMPUS,PA,2019,-1.5577,,10/01/2015,06/30/2017,-1.5577,,-0.5081,,-0.6254,,0.212,,-0.6269,,-1.1229,,-0.3775,,01/01/2016,12/31/2017,-0.6656,,No,
500027,SWEDISH MEDICAL CENTER,WA,2019,-1.4378,,10/01/2015,06/30/2017,-1.4378,,0.4238,,0.1077,,1.1994,,1.5108,,-0.5896,,-0.1094,,01/01/2016,12/31/2017,0.1445,,No,
410012,THE MIRIAM HOSPITAL,RI,2019,0.1211,,10/01/2015,06/30/2017,0.1211,,-0.028,,0.056,,-0.1735,,-0.1425,,-0.7651,,0.8852,,01/01/2016,12/31/2017,-0.0056,,No,
450028,VALLEY BAPTIST MEDICAL CENTER- BROWNSVILLE,TX,2019,-0.4612,,10/01/2015,06/30/2017,-0.4612,,-0.3147,,-0.4777,,0.4074,,0.2741,,-1.0243,,-0.7532,,01/01/2016,12/31/2017,-0.3367,,No,
390044,READING HOSPITAL,PA,2019,-1.3917,,10/01/2015,06/30/2017,-1.3917,,-0.2187,,-0.1915,,-0.7439,,0.0539,,-0.2903,,0.0784,,01/01/2016,12/31/2017,-0.3946,,No,
060020,"PARKVIEW MEDICAL CENTER, INC",CO,2019,2.214,,10/01/2015,06/30/2017,2.214,,0.3491,,1.1381,,-0.7038,,0.5621,,0.096,,0.6531,,01/01/2016,12/31/2017,0.6289,,Yes,
340183,NOVANT HEALTH HUNTERSVILLE MEDICAL CENTER,NC,2019,0.6012,,10/01/2015,06/30/2017,0.6012,,0.4014,,-0.45,,-0.0183,,-0.8049,,2.196,,1.0842,,01/01/2016,12/31/2017,0.4314,,Yes,
390086,PENN HIGHLANDS DUBOIS,PA,2019,0.0757,,10/01/2015,06/30/2017,0.0757,,-0.9772,,-1.4878,,-0.976,,-1.1645,,-0.8939,,-0.3636,,01/01/2016,12/31/2017,-0.8192,,No,
100088,BAPTIST MEDICAL CENTER JACKSONVILLE,FL,2019,1.2258,,10/01/2015,06/30/2017,1.2258,,0.3896,,0.2444,,0.4283,,1.0759,,0.5106,,-0.3111,,01/01/2016,12/31/2017,0.515,,Yes,
050071,KAISER FOUNDATION HOSPITAL-SANTA CLARA,CA,2019,-0.8247,,10/01/2015,06/30/2017,-0.8247,,0.2519,,-0.7972,,1.6006,,0.9126,,-0.8387,,0.3824,,01/01/2016,12/31/2017,0.0904,,No,
140116,NORTHWESTERN MEDICINE MCHENRY HOSPITAL,IL,2019,-1.5577,,10/01/2015,06/30/2017,-1.5577,,-0.3043,,-0.9375,,0.0114,,-0.3553,,-0.7935,,0.5537,,01/01/2016,12/31/2017,-0.4923,,No,
390290,HAHNEMANN UNIVERSITY HOSPITAL,PA,2019,1.0421,,10/01/2015,06/30/2017,1.0421,,0.0945,,-0.1065,,0.2085,,0.3658,,0.3183,,-0.3139,,01/01/2016,12/31/2017,0.2366,,No,
030010,ST. MARY'S HOSPITAL,AZ,2019,1.3426,,10/01/2015,06/30/2017,1.3426,,-0.224,,-0.9301,,-0.6428,,0.6832,,-0.088,,-0.1426,,01/01/2016,12/31/2017,0.011,,No,
050597,FOOTHILL PRESBYTERIAN HOSPITAL,CA,2019,1.1851,,10/01/2015,06/30/2017,1.1851,,-0.1831,,-0.2044,,-0.5904,,-0.5425,,-0.516,,0.9377,,01/01/2016,12/31/2017,0.0221,,No,
310044,CAPITAL HEALTH MEDICAL CENTER - HOPEWELL,NJ,2019,0.5725,,10/01/2015,06/30/2017,0.5725,,-0.1572,,-0.7159,,-0.7719,,0.3053,,-0.1214,,0.5178,,01/01/2016,12/31/2017,-0.0478,,No,
450040,COVENANT MEDICAL CENTER,TX,2019,-1.3093,,10/01/2015,06/30/2017,-1.3093,,-0.1212,,-0.3447,,0.0358,,-1.0526,,0.1578,,0.5979,,01/01/2016,12/31/2017,-0.2994,,No,
130007,SAINT ALPHONSUS REGIONAL MEDICAL CENTER,ID,2019,-0.7075,,10/01/2015,06/30/2017,-0.7075,,-0.4987,,-0.6088,,-0.095,,-0.2893,,-1.1564,,-0.3443,,01/01/2016,12/31/2017,-0.5301,,No,
420015,BAPTIST EASLEY HOSPITAL,SC,2019,1.5254,,10/01/2015,06/30/2017,1.5254,,0.6034,,1.4724,,0.3394,,2.1365,,-1.4406,,0.5095,,01/01/2016,12/31/2017,0.7417,,Yes,
110054,FLOYD MEDICAL CENTER,GA,2019,-1.4939,,10/01/2015,06/30/2017,-1.4939,,0.3532,,-0.4334,,0.6813,,0.8649,,0.6026,,0.0508,,01/01/2016,12/31/2017,0.0762,,No,
040055,SPARKS REGIONAL MEDICAL CENTER,AR,2019,0.7064,,10/01/2015,06/30/2017,0.7064,,0.0135,,-0.4943,,-0.559,,0.186,,0.4254,,0.5095,,01/01/2016,12/31/2017,0.1174,,No,
450124,DELL SETON  MED CENTER AT THE UNIVERSITY OF TX,TX,2019,2.347,,10/01/2015,06/30/2017,2.347,,0.1448,,0.0191,,0.9865,,0.5309,,-0.7417,,-0.0708,,01/01/2016,12/31/2017,0.4751,,Yes,
100028,PARRISH MEDICAL CENTER,FL,2019,1.8359,,10/01/2015,06/30/2017,1.8359,,-0.092,,-0.8156,,-0.8783,,-1.4966,,2.196,,0.5343,,01/01/2016,12/31/2017,0.1972,,No,
340071,BETSY JOHNSON REGIONAL  HOSPITAL,NC,2019,0.2484,,10/01/2015,06/30/2017,0.2484,,-0.2105,,0.2628,,0.1422,,-0.6672,,-0.7802,,-0.01,,01/01/2016,12/31/2017,-0.1416,,No,
120014,WILCOX MEMORIAL HOSPITAL,HI,2019,-1.1103,,10/01/2015,06/30/2017,-1.1103,,0.3828,,0.1022,,2.1658,,1.1328,,-1.4406,,-0.0459,,01/01/2016,12/31/2017,0.1589,,No,
020026,ALASKA NATIVE MEDICAL CENTER,AK,2019,1.223,,10/01/2015,06/30/2017,1.223,,0.7471,,-0.6236,,1.7471,,-0.8893,,2.196,,1.3052,,01/01/2016,12/31/2017,0.8185,,Yes,
110035,WELLSTAR KENNESTONE HOSPITAL,GA,2019,0.1802,,10/01/2015,06/30/2017,0.1802,,-0.2513,,-0.0659,,-0.4195,,-0.1241,,-0.1147,,-0.5322,,01/01/2016,12/31/2017,-0.1865,,No,
390045,WILLIAMSPORT REGIONAL MEDICAL CENTER,PA,2019,0.9819,,10/01/2015,06/30/2017,0.9819,,0.4246,,-0.4851,,-0.0287,,2.1365,,-0.3822,,0.8825,,01/01/2016,12/31/2017,0.5082,,Yes,
180027,MURRAY-CALLOWAY COUNTY HOSPITAL,KY,2019,-0.0703,,10/01/2015,06/30/2017,-0.0703,,-0.2315,,-1.4878,,-0.0078,,-0.3571,,0.7547,,-0.0597,,01/01/2016,12/31/2017,-0.2074,,No,
100154,SOUTH MIAMI HOSPITAL,FL,2019,1.1234,,10/01/2015,06/30/2017,1.1234,,-0.373,,0.2056,,-0.7945,,0.5126,,-1.1932,,-0.5957,,01/01/2016,12/31/2017,-0.1486,,No,
670056,SETON MEDICAL CENTER HAYS,TX,2019,-1.0149,,10/01/2015,06/30/2017,-1.0149,,0.6216,,1.2397,,0.2329,,0.1493,,1.2614,,0.2249,,01/01/2016,12/31/2017,0.3762,,Yes,
040014,WHITE COUNTY MEDICAL CENTER,AR,2019,-1.1497,,10/01/2015,06/30/2017,-1.1497,,-0.977,,-1.1702,,-1.0998,,-1.0306,,-1.0744,,-0.5101,,01/01/2016,12/31/2017,-1.0029,,No,
150017,LUTHERAN HOSPITAL OF INDIANA,IN,2019,0.523,,10/01/2015,06/30/2017,0.523,,0.3284,,-0.2136,,1.3005,,0.4741,,-0.7902,,0.8714,,01/01/2016,12/31/2017,0.3576,,Yes,
490113,SENTARA NORTHERN VIRGINIA MEDICAL CENTER,VA,2019,-0.8772,,10/01/2015,06/30/2017,-0.8772,,0.3233,,0.5158,,-0.1857,,0.2392,,1.0875,,-0.0404,,01/01/2016,12/31/2017,0.1432,,No,
100117,BAPTIST MEDICAL CENTER - BEACHES,FL,2019,-0.242,,10/01/2015,06/30/2017,-0.242,,0.0562,,0.706,,0.1632,,-0.1113,,0.6327,,-1.1097,,01/01/2016,12/31/2017,0.0115,,No,
190204,"OCHSNER MEDICAL CENTER - NORTHSHORE, L L C",LA,2019,-0.4786,,10/01/2015,06/30/2017,-0.4786,,0.274,,-1.4878,,-1.3074,,2.1365,,0.0575,,1.9711,,01/01/2016,12/31/2017,0.1611,,No,
450237,CHRISTUS SANTA ROSA MEDICAL CENTER,TX,2019,0.3211,,10/01/2015,06/30/2017,0.3211,,0.5564,,1.4115,,0.2835,,1.0245,,0.407,,-0.3443,,01/01/2016,12/31/2017,0.5211,,Yes,
450634,MEDICAL CITY DENTON,TX,2019,-1.5577,,10/01/2015,06/30/2017,-1.5577,,0.1914,,-0.0437,,-0.2834,,-0.4049,,1.5774,,0.1116,,01/01/2016,12/31/2017,-0.071,,No,
440011,BLOUNT MEMORIAL HOSPITAL,TN,2019,1.4575,,10/01/2015,06/30/2017,1.4575,,0.4942,,0.6802,,0.0969,,-1.2379,,2.196,,0.736,,01/01/2016,12/31/2017,0.6387,,Yes,
240010,MAYO CLINIC HOSPITAL ROCHESTER,MN,2019,-0.5469,,10/01/2015,06/30/2017,-0.5469,,-0.1414,,0.1908,,-0.9934,,0.7897,,-0.1866,,-0.5073,,01/01/2016,12/31/2017,-0.2022,,No,
140189,SARAH BUSH LINCOLN HEALTH CENTER,IL,2019,2.347,,10/01/2015,06/30/2017,2.347,,0.6315,,-0.9597,,1.3197,,0.7988,,1.6744,,0.3244,,01/01/2016,12/31/2017,0.8888,,Yes,
260040,COX MEDICAL CENTERS,MO,2019,-0.7294,,10/01/2015,06/30/2017,-0.7294,,-0.2127,,-0.2376,,-0.0462,,-0.2819,,-0.6564,,0.1586,,01/01/2016,12/31/2017,-0.2902,,No,
030110,ABRAZO WEST CAMPUS,AZ,2019,-0.6063,,10/01/2015,06/30/2017,-0.6063,,-1.0844,,-1.0077,,-1.3964,,-1.4966,,-0.7183,,-0.803,,01/01/2016,12/31/2017,-1.0127,,No,
240038,UNITED HOSPITAL,MN,2019,-1.1745,,10/01/2015,06/30/2017,-1.1745,,0.0289,,0.0671,,0.2486,,0.9585,,-0.73,,-0.3996,,01/01/2016,12/31/2017,-0.1516,,No,
360081,MERCY ST CHARLES HOSPITAL,OH,2019,2.2225,,10/01/2015,06/30/2017,2.2225,,-0.2733,,-0.8563,,-0.1526,,-0.9058,,0.6711,,-0.1233,,01/01/2016,12/31/2017,0.101,,No,
050309,SUTTER ROSEVILLE MEDICAL CENTER,CA,2019,-1.5577,,10/01/2015,06/30/2017,-1.5577,,-0.0291,,-0.7768,,0.4946,,-0.4104,,0.4605,,0.0867,,01/01/2016,12/31/2017,-0.2584,,No,
490107,RESTON HOSPITAL CENTER,VA,2019,-0.5007,,10/01/2015,06/30/2017,-0.5007,,0.8875,,1.3468,,2.1431,,0.4153,,0.2465,,0.2857,,01/01/2016,12/31/2017,0.6793,,Yes,
140286,KISHWAUKEE COMMUNITY HOSPITAL,IL,2019,0.022,,10/01/2015,06/30/2017,0.022,,0.2803,,-0.4648,,-1.126,,-0.3498,,1.9787,,1.3632,,01/01/2016,12/31/2017,0.2415,,No,
